"fname","group","tot_dist","var_dist","frames_tracked"
"04_6A_17","after the drop",2.003,0.133733633333333,30
"04_6A_17","before the drop",8.593,0.201428598850575,30
"04_6B_05","after the drop",27.867,0.471470162068965,30
"04_6B_05","before the drop",25.054,0.43516411954023,30
"04_6B_07","after the drop",24.715,0.874772281609195,30
"04_6B_07","before the drop",27.341,0.875855688505747,30
"04_6B_09","after the drop",16.641,1.67068876896552,30
"04_6B_09","before the drop",4.462,0.135501236781609,30
"04_6B_11","after the drop",0,0,30
"04_6B_11","before the drop",0,0,30
"04_6B_13","after the drop",1.824,0.1108992,30
"04_6B_13","before the drop",0,0,30
"04_6B_15","after the drop",0,0,30
"04_6B_15","before the drop",0,0,30
"04_6B_17","after the drop",0.594,0.00762430344827586,30
"04_6B_17","before the drop",0.258,0.00107114482758621,30
"04_6D_05","after the drop",20.874,0.424102648275862,30
"04_6D_05","before the drop",28.278,0.404794937931035,30
"04_6D_07","after the drop",16.444,0.407793912643678,30
"04_6D_07","before the drop",11.943,0.258941679310345,30
"04_6D_09","after the drop",15.225,1.44056501724138,30
"04_6D_09","before the drop",21.785,1.04343448850575,30
"04_6D_11","after the drop",17.766,0.898130096551724,30
"04_6D_11","before the drop",17.094,2.1189527862069,30
"04_6D_13","after the drop",18.187,4.12507480574713,30
"04_6D_13","before the drop",49.512,3.30885700689655,30
"04_6D_15","after the drop",27.819,0.901768079310345,30
"04_6D_15","before the drop",42.109,1.51091665402299,30
"04_6D_17","after the drop",60.446,3.73474115402299,30
"04_6D_17","before the drop",67.303,3.6875334954023,30
"05_1D_05","after the drop",55.112,2.5676804091954,30
"05_1D_05","before the drop",66.204,4.70341554482759,30
"05_1D_07","after the drop",39.772,2.59130902988506,30
"05_1D_07","before the drop",62.977,3.78536177126437,30
"05_1D_09","after the drop",29.074,2.53523908505747,30
"05_1D_09","before the drop",38.706,1.96847430344828,30
"05_1D_11","after the drop",29.617,2.21163842118227,29
"05_1D_11","before the drop",28.932,2.6443488,30
"05_1D_13","after the drop",40.278,1.87291383448276,30
"05_1D_13","before the drop",56.883,4.00991643793103,30
